trial_id,filler_or_item_id,position_condition,agent_in_question,agent_in_picture,verb_in_question,verb_in_picture,patient_in_question,patient_in_picture,picture_file,question_file,answer_script
51,filler_19,Verb,Teddy,Teddy,Push,Kick,Brandy,Brandy,Teddy_is_Kicking_Brandy.png,Is_Teddy_Pushing_Brandy.wav,No Teddy is Kicking Brandy.
43,filler_11,Agent,Billy,Eddie,Push,Push,Mandy,Mandy,Eddie_is_Pushing_Mandy.png,Is_Billy_Pushing_Mandy.wav,No Eddie is Pushing Mandy.
30,item_04,Patient,Annie,Annie,Kick,Kick,Dory,Penny,Annie_is_Kicking_Penny.png,Is_Annie_Kicking_Dory.wav,No Annie is Kicking Penny.
02,item_01,Verb,Kelly,Kelly,Pull,Kick,Ronnie,Ronnie,Kelly_is_Kicking_Ronnie.png,Is_Kelly_Pulling_Ronnie.wav,No Kelly is Kicking Ronnie.
05,item_01,Verb,Kelly,Kelly,Pull,Kick,Ronnie,Ronnie,Kelly_is_Kicking_Ronnie.png,Is_Kelly_Pulling_Ronnie.wav,No Kelly is Kicking Ronnie.
17,item_03,Agent,Percy,Willy,Pull,Pull,Kimmy,Kimmy,Willy_is_Pulling_Kimmy.png,Is_Percy_Pulling_Kimmy.wav,No Willy is Pulling Kimmy.
04,item_01,Agent,Kelly,Tori,Pull,Pull,Ronnie,Ronnie,Tori_is_Pulling_Ronnie.png,Is_Kelly_Pulling_Ronnie.wav,No Tori is Pulling Ronnie.
45,filler_13,Agent,Freedy,Andy,Push,Push,Mindy,Mindy,Andy_is_Pushing_Mindy.png,Is_Freedy_Pushing_Mindy.wav,No Andy is Pushing Mindy.
23,item_03,Control,Percy,Percy,Pull,Pull,Kimmy,Kimmy,Percy_is_Pulling_Kimmy.png,Is_Percy_Pulling_Kimmy.wav,Yes Percy is Pulling Kimmy.
46,filler_14,Verb,Lacey,Lacey,Kick,Push,Percy,Percy,Lacey_is_Pushing_Percy.png,Is_Lacey_Kicking_Percy.wav,No Lacey is Pushing Percy.
